ID,X,Y,Demanda
0,50,50,0
1,27,80,11
2,89,38,10
3,57,81,9
4,73,26,11
5,29,30,15
6,10,59,15
7,75,34,15
8,57,46,7
9,18,62,14
10,31,51,10
11,52,52,12
12,76,34,13
13,17,50,8
14,54,17,10
15,25,71,7
16,82,28,9
17,12,70,5
18,45,55,10
19,18,27,10
20,76,89,14
21,10,29,5
22,59,67,14
23,76,85,8
24,35,16,15
25,86,81,9
26,80,48,9
27,63,71,5
28,62,66,14
29,48,72,15
30,57,62,13
31,75,77,12
32,88,44,11
33,33,72,6
34,78,69,14
35,37,83,13
36,84,75,6
37,41,11,10
38,52,39,15
39,10,60,8
40,77,39,11
41,68,36,8
42,65,86,6
43,44,30,11
44,56,37,15
45,45,66,15
46,63,46,9
47,39,72,15
48,39,11,15
49,24,19,13
50,88,16,13
