ID,X,Y,Demanda
0,50,50,0
1,43,36,13
2,38,83,12
3,47,63,5
4,62,90,8
5,67,57,5
6,71,72,9
7,23,49,10
8,88,84,13
9,69,20,10
10,28,53,7
11,52,85,15
12,36,57,11
13,46,64,9
14,30,43,15
15,80,29,14
16,90,11,8
17,12,14,14
18,54,47,15
19,58,10,7
20,76,46,11
21,88,76,14
22,39,83,11
23,67,21,8
24,84,78,11
25,20,45,10
26,53,70,9
27,73,39,13
28,26,69,9
29,32,77,7
30,17,64,12
31,29,80,11
32,25,88,12
33,84,19,10
34,55,35,13
35,34,78,14
36,29,11,10
37,25,18,13
38,25,13,7
39,71,10,11
40,39,31,7
41,42,14,7
42,81,16,15
43,74,54,13
44,13,75,15
45,40,40,9
46,79,23,8
47,46,10,10
48,66,76,10
49,17,22,9
50,17,58,12
51,72,12,11
52,62,85,12
53,41,47,8
54,86,90,13
55,85,29,5
56,61,23,6
57,80,48,7
58,59,70,13
59,33,55,5
60,50,86,13
61,53,35,15
62,17,18,8
63,60,90,6
64,46,76,5
65,77,66,6
66,44,70,11
67,88,64,11
68,13,49,7
69,90,57,10
70,29,87,6
71,58,63,5
72,10,64,6
73,72,49,5
74,77,57,15
75,87,87,12
76,54,61,5
77,81,12,15
78,16,35,5
79,84,76,14
80,85,29,11
81,19,37,14
82,49,59,8
83,49,82,14
84,56,63,5
85,58,10,13
86,21,73,14
87,35,29,11
88,83,83,13
89,58,11,14
90,66,56,5
91,47,73,5
92,75,48,15
93,56,33,12
94,82,89,13
95,15,50,15
96,52,51,10
97,83,36,11
98,62,38,9
99,29,20,8
100,18,86,12
